Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","WAGO_2060-452_998-404",81.280000,-105.410000,-82.000000,top
"BT2","Battery_Cell","WAGO_2060-452_998-404",217.170000,-105.410000,-98.000000,top
"D_L_0_0","D_Small","Diode_SOD123",121.920000,-54.610000,-90.000000,top
"D_L_0_1","D_Small","Diode_SOD123",119.380000,-54.610000,-90.000000,top
"D_L_0_2","D_Small","Diode_SOD123",116.840000,-54.610000,-90.000000,top
"D_L_0_3","D_Small","Diode_SOD123",121.932251,-92.710000,-90.000000,top
"D_L_1_0","D_Small","Diode_SOD123",121.920000,-62.230000,-90.000000,top
"D_L_1_1","D_Small","Diode_SOD123",119.380000,-62.230000,-90.000000,top
"D_L_1_2","D_Small","Diode_SOD123",116.840000,-62.230000,-90.000000,top
"D_L_1_3","D_Small","Diode_SOD123",119.392251,-92.710000,-90.000000,top
"D_L_2_0","D_Small","Diode_SOD123",121.920000,-69.850000,-90.000000,top
"D_L_2_1","D_Small","Diode_SOD123",119.380000,-69.850000,-90.000000,top
"D_L_2_2","D_Small","Diode_SOD123",116.840000,-69.850000,-90.000000,top
"D_L_2_3","D_Small","Diode_SOD123",116.852251,-92.710000,-90.000000,top
"D_L_3_0","D_Small","Diode_SOD123",121.920000,-77.470000,-90.000000,top
"D_L_3_1","D_Small","Diode_SOD123",119.380000,-77.470000,-90.000000,top
"D_L_3_2","D_Small","Diode_SOD123",116.840000,-77.470000,-90.000000,top
"D_L_4_0","D_Small","Diode_SOD123",121.920000,-85.090000,-90.000000,top
"D_L_4_1","D_Small","Diode_SOD123",119.380000,-85.090000,-90.000000,top
"D_L_4_2","D_Small","Diode_SOD123",116.840000,-85.090000,-90.000000,top
"D_R_0_0","D_Small","Diode_SOD123",176.530000,-54.610000,-90.000000,top
"D_R_0_1","D_Small","Diode_SOD123",179.070000,-54.610000,-90.000000,top
"D_R_0_2","D_Small","Diode_SOD123",181.610000,-54.610000,-90.000000,top
"D_R_0_3","D_Small","Diode_SOD123",176.530000,-92.710000,-90.000000,top
"D_R_1_0","D_Small","Diode_SOD123",176.530000,-62.230000,-90.000000,top
"D_R_1_1","D_Small","Diode_SOD123",179.070000,-62.230000,-90.000000,top
"D_R_1_2","D_Small","Diode_SOD123",181.610000,-62.230000,-90.000000,top
"D_R_1_3","D_Small","Diode_SOD123",179.070000,-92.710000,-90.000000,top
"D_R_2_0","D_Small","Diode_SOD123",176.530000,-69.850000,-90.000000,top
"D_R_2_1","D_Small","Diode_SOD123",179.070000,-69.850000,-90.000000,top
"D_R_2_2","D_Small","Diode_SOD123",181.610000,-69.850000,-90.000000,top
"D_R_2_3","D_Small","Diode_SOD123",181.610000,-92.710000,-90.000000,top
"D_R_3_0","D_Small","Diode_SOD123",176.530000,-77.470000,-90.000000,top
"D_R_3_1","D_Small","Diode_SOD123",179.070000,-77.470000,-90.000000,top
"D_R_3_2","D_Small","Diode_SOD123",181.610000,-77.470000,-90.000000,top
"D_R_4_0","D_Small","Diode_SOD123",176.530000,-85.090000,-90.000000,top
"D_R_4_1","D_Small","Diode_SOD123",179.070000,-85.090000,-90.000000,top
"D_R_4_2","D_Small","Diode_SOD123",181.610000,-85.090000,-90.000000,top
